"notificationId","userId","type","message","dateISO","readFlag"
"NTF-0020","STU-001","RESERVATION_READY","Your reserved book 'Database System Concepts' is now available. Please collect within 48 hours.","2025-12-12","false"
"NTF-0002","STU-001","RESERVATION_READY","Your reserved book 'Python Crash Course' is now available. Please collect within 48 hours.","2025-12-10","false"
"NTF-0013","FCL-001","RESERVATION_READY","Your reserved book 'Python Crash Course' is now available. Please collect within 48 hours.","2025-12-10","false"
"NTF-0001","STU-002","RESERVATION_READY","Your reserved book 'Database System Concepts' is now available. Please collect within 48 hours.","2025-12-10","false"
"NTF-0012","GST-001","RESERVATION_READY","Your reserved book 'Python Crash Course' is now available. Please collect within 48 hours.","2025-12-10","false"
"NTF-0011","STU-001","OVERDUE_ALERT","Fine of LKR 800.0 for 16 days overdue on book: Python Crash Course","2025-12-10","false"
"NTF-0022","GST-001","OVERDUE_ALERT","Fine of LKR 2500.0 for 25 days overdue on book: Refactoring","2025-12-12","false"
"NTF-0010","GST-001","FINE_ALERT","FINE NOTIFICATION: You owe LKR 2300.0 for 'Refactoring' (23 days overdue). Please pay at the library counter.","2025-12-10","false"
"NTF-0021","FCL-001","OVERDUE_ALERT","Fine of LKR 200.0 for 10 days overdue on book: Clean Code","2025-12-12","false"
"NTF-0006","FCL-001","OVERDUE_ALERT","OVERDUE ALERT: 'Introduction to Algorithms' is 1 days overdue! Fine: LKR 20.0. Please return immediately.","2025-12-10","false"
"NTF-0017","GST-001","OVERDUE_ALERT","OVERDUE ALERT: 'Refactoring' is 24 days overdue! Fine: LKR 2400.0. Please return immediately.","2025-12-11","false"
"NTF-0005","STU-001","OVERDUE_ALERT","OVERDUE ALERT: 'Python Crash Course' is 16 days overdue! Fine: LKR 800.0. Please return immediately.","2025-12-10","false"
"NTF-0016","STU-001","RESERVATION_READY","Your reserved book 'Introduction to Algorithms' is now available. Please collect within 48 hours.","2025-12-11","false"
"NTF-0004","STU-001","OVERDUE_ALERT","OVERDUE ALERT: 'Python Crash Course' is 16 days overdue! Fine: LKR 800.0. Please return immediately.","2025-12-10","false"
"NTF-0015","FCL-001","OVERDUE_ALERT","Fine of LKR 40.0 for 2 days overdue on book: Introduction to Algorithms","2025-12-11","false"
"NTF-0003","STU-001","FINE_ALERT","FINE NOTIFICATION: You owe LKR 800.0 for 'Python Crash Course' (16 days overdue). Please pay at the library counter.","2025-12-10","false"
"NTF-0014","STU-001","RESERVATION_READY","Your reserved book 'Python Crash Course' is now available. Please collect within 48 hours.","2025-12-10","false"
"NTF-0009","FCL-001","FINE_ALERT","FINE NOTIFICATION: You owe LKR 20.0 for 'Introduction to Algorithms' (1 days overdue). Please pay at the library counter.","2025-12-10","false"
"NTF-0008","STU-001","FINE_ALERT","FINE NOTIFICATION: You owe LKR 800.0 for 'Python Crash Course' (16 days overdue). Please pay at the library counter.","2025-12-10","false"
"NTF-0019","STU-002","OVERDUE_ALERT","Fine of LKR 250.0 for 5 days overdue on book: Database System Concepts","2025-12-12","false"
"NTF-0007","GST-001","OVERDUE_ALERT","OVERDUE ALERT: 'Refactoring' is 23 days overdue! Fine: LKR 2300.0. Please return immediately.","2025-12-10","false"
"NTF-0018","GST-001","FINE_ALERT","FINE NOTIFICATION: You owe LKR 2400.0 for 'Refactoring' (24 days overdue). Please pay at the library counter.","2025-12-11","false"
